Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Acroptilon,perennial,monoecious,,erect,,"oblong,lobed,linear,lanceolate,entire,toothed",,discoid,panicle,"unequal,series",bristly,bisexual,short tailed,oblong,wbl,"triangular,swollen node",short branched,"obovoid,compressed",bristles,,Asteraceae
Adenocaulon,both,,,slender,alternate,"wide,thin",yes,disciform,cyme,"equal,series","convex,naked","disk,pistillate",sagittate,triangular,white,,unbranched,"club,obovoid",0,,Asteraceae
Ambrosia,both,monoecious,shrub,,"alternate,opposite","linear,ovate",yes,disciform,"spike,raceme",fused,chaffy,"staminate,pistillate",free,,yellow,,"unbranched,long branched",bur,0,,Asteraceae
Ambylopappus,annual,,,"erect,branched",alternate,"simple,linear,oblnceolate,entire,lobed",,"disciform,radiate",cyme,"series,free,equal","conic,naked","disk,pistillate",,,yellow,triangular,short branched,obconic,scales,,Asteraceae
Anaphalis,perennial,dioecious,herb,erect,alternate,"linear,lanceolate,entire",,"disciform,discoid",terminal panicle,"series,free,unequal",naked,"disk,pistillate",tailed,ovate,yellow,wide,truncated,"obconic,cylindric",bristles,yes,Asteraceae
Ancistrocarphus ,annual,dioecious,herb,"many,erect,forked",alternate,"linear,oblancceolate,elliptic,entire,simple",no,disciform,,"vestigial,0,multiple",chaffy,"disk,pistillate",,,,,,"obovoid,compressed",0,,Asteraceae
Antennaria,perennial,dioecious,herbs,,alternate,entire,,"disciform,discoid",cyme,series,naked,"staminate,pistillate",,,wyr,,,elliptic,bristles,,Asteraceae
Arctium,biennial,monoecious,,"several,branched",alternate,"ovate,cordate,entire,toothed",yes,discoid,,series,bristly,bisexual,tailed,ovate,ppu,,oblong branched,"compressed,ribbed,rough",bristles,,Asteraceae
Artemisia,annual,,shrub,,,"entire,lobed",,"discoid,disciform","raceme,panicle",series,"conic,naked","disk,pistillate",,"acute,awl-shaped",yellow,,flat branches,"obovoid,fusiform,ribbed,smooth",0,,Asteraceae
Baccharis,perennial,dioecious,shrub,erect,alternate,simple,,disciform,"raceme,panicle,cyme",series,"naked,chaffy","disk,pistillate",,,wp,,,"cylindric,ribbed",bristles,,Asteraceae
Bebbia,,,"shrub,subshrub","many,slender,brittle",opposite,"simple,linear,triangular,entire,dentate,lobed","yes,no",discoid,"cyme,solitary",series,"round,chaffy",bisexual,,"ovate,acute",yellow,"acute,tapered",,"compressed,club",bristles,,Asteraceae
Bidens,both,,shrub,"prostrate,erect",opposite,"simple,pinnate","yes,no","disciform,radiate",,series,chaffy,"ray,disk",,,yw,,,"club,compressed","0,barbs",,Asteraceae
Carduus,both,monoecious,,erect,alternate,"spiny,dentate,lobed",yes,discoid,,series,"flat,bristly",bisexual,short saggitatte,oblong,wppu,swollen node,short branched,"ovoid,compressed",flat bristles,,Asteraceae
Carthamus,annual ,monoecious,,"erect,branched",alternate,"lobed,spiny,lanceolate,ovate",,discoid,solitary,leaf like,"chaffy,convex,conic",bisexual,short tailed,oblong,,hairy node,,"oblong,obpyramidal","0,scales",,Asteraceae
Centaurea,both,monoecious,,,alternate,lobed,,discoid,,many,"flat,bristly",bisexual,tailed,oblong,,hairy,branched,barrel,"bristles,scales",,Asteraceae
Chamomilla,annual,monoecious,,"branched,erect,decumbent",alternate,"lobed,linear","yes,no",discoid,solitary,"unequal,series","naked,conic",bisexual,rounded,ovate,yellow,shrub-like,truncated,"cylindric,ribbed","crown,0",,Asteraceae
Cirsium,both,monoecious,,erect,,"wavy,lobed,dentate","yes,no",discoid,,series,"flat,bristly",bisexual,sagittate,oblong,wrpu,swollen node,short branched,ovoid,bristles,,Asteraceae
Cnicus ,annual,,herb,branched,alternate,"lanceolate,spine toothed,lobed",no,disciform,,lanceolate,bristly,"disk,sterile",sagittate,long-appendaged,yellow,hair-ringed,,"cylindric,ribbed",series,,Asteraceae
Conyza,both,,,erect,alternate,"linear,lancceolate",,disciform,"raceme,panicle","series,free,unequal",naked,"disk,pistillate",,,wpcy,lanceolate,,"elliptic,compressed",bristles,,Asteraceae
Cotula,both,,,"erect,creeping,branched",alternate,"entire,lobed",,disciform,solitary,series,"flat,convex,naked","disk,pistillate",rounded,ovate,yellow,shrub-like,truncated,"compressed,winged",0,,Asteraceae
Crupina,annual,monoecious,,"erect,branched",alternate,"entire,toothed,lobed",,disciform,,series,chaffy,bisexual,short tailed,triangular,purple,hairy node,"short branched,triangular","cylindric,compressed","scales,bristles",,Asteraceae
Cynara,perennial ,monoecious,,"erect,branched,stout",alternate,"lobed,spiny",,discoid,cyme,series,"flat,fleshy,bristly",bisexual,long sagittate,oblong,blpu,,long,"cylindric,obconic,compressed","bristles,fused,series",,Asteraceae
Dicoria,annual,monoecious,,branched,"alternate,opposite",,yes,disciform,"raceme,panicle","series,free",chaffy,"staminate,pistillate",free,,gpu,,long branched,"compressed,winged",0,,Asteraceae
Eastwoodia,,monoecious,shrub,striate,alternate,"entire,linear",,discoid,"solitary,panicle",series,chaffy,bisexual,,,yellow,,branched,obconic,scales,,Asteraceae
Echinops,perennial,monoecious,,,alternate,"spiny,dentate,lobed",,discoid,solitary,series,"chaffy,obconic",bisexual,sharply tailed,"triangular,acute",wbl,,oblong branches,cylindric,scales,,Asteraceae
Erechtites,both,,,,alternate,pinnate,,disciform,,series,"flat,naked","disk,pistillate",rounded,short-triangular,yellow,hairy,,"cylindric,ribbed",bristles,,Asteraceae
Erigeron,both,,subshrub,erect,alternate,entire,,radiate,panicle,lanceolate,"flat,naked,conic","ray,disk",,triangular,yellow,,,"oblong,compressed,cylindric,ribbed","0,bristles,scales",,Asteraceae
Filago,annual,,,,alternate,"entire,simple,whorled",no,disciform,,0,chaffy,"disk,pistillate",,,,,,"obovoid,compressed,smooth",0,,Asteraceae
Flaveria,both,,shrub,"prostrate,erect",opposite,simple,"yes,no","radiate,discoid",cyme,multiple,,"ray,disk",,,yellow,"flattened,obtuse",,"ribbed,flattened",0,,Asteraceae
Gnaphalium,both,,,,alternate,entire,no,disciform,,series,"flat,naked","disk,pistillate",short tailed,,wpuy,,"wide branched,truncated",oblong,bristles,no,Asteraceae
Hecastocleis,,monoecious,shrub,"stiff,branched",alternate,"simple,linear,lanceolate,spiny",no,discoid,,"unequal,series",naked,bisexual,"stiff,bristle tailed",,wrppu,lobed,"short branched,triangular","cylindric,",scales,,Asteraceae
Helenium,both,,,"erect,winged",alternate,simple,,"radiate,discoid",,"series,free,fused","convex,conic,naked","ray,disk",,short-triangular,yrpubl,,truncated,"obconic,ribbed","scales,0",,Asteraceae
Hesperevax,annual,,,,"alternate,whorled","oblanceolate,round,entire",,disciform,,0,"conic,acuminate,chaffy","disk,pistillate",,,,,,"obovoid,compressed",0,,Asteraceae
Hymenoclea,,monoecious,"subshrub,small tree",slender,alternate,lobed,,disciform,"spike,panicle,spheric","multiple,0,fused",chaffy,"staminate,pistillate",free,,,,"unbranched,long branched",bur,0,,Asteraceae
Iva,both,,shrub,,"alternate,opposite",,,disciform,,"free,fused",chaffy,"staminate,pistillate",free,,yellow,truncated,,"obovate,compressed",0,,Asteraceae
Lasthenia,both,,,"branched,erect",opposite,entire,,radiate,"cyme,solitary","series,free,fused","conic,naked","ray,disk",,"acuminate,triangular",yellow,"triangular,round",,"cylindric,obovoid","scales,0",,Asteraceae
Lembertia,annual,,,decumbent,alternate,"oblong,dentate",,discoid,,series,"domed,naked","ray,disk",,,yellow,,,"ray achenes,disk achenes,compressed",scales,,Asteraceae
Madia,both,,,branched,"opposite,alternate","linear,lanceolate,toothed",,radiate,,free,"flat,chaffy","ray,disk",,"triangular,ovate",ym,"linear,oblong,acute,bristly",,"club,obovoid,ray achenes,compressed","0,bristles,scales",,Asteraceae
Mircopus,annual,,,erect,alternate,"simple,oblanceolate,entire,elliptic",no,disciform,solitary,equal,chaffy,"disk,pistillate",,,,,,"obovate,compressed,smooth","0,bristles",,Asteraceae
Pentachaeta,annual,,,"branching,flexible,erect",alternate,"narrow,linear",,"radiate,disciform,discoid",solitary,"equal,series",naked,"ray,disk",,,wyrm,"linear,acute",,"oblong,fusiform,compressed",bristles,no,Asteraceae
Pericome,perennial,monoecious,subshrub,many,opposite,"deltate,ovvate,simple",yes,discoid,cyme,"series,fused","round,naked",bisexual,,triangular,cy,"linear,tapered",,"oblanceolate,flat","scales,bristles",,Asteraceae
Perityle,both,,"shrub,subshrub",,"opposite,alternate","simple,compound","yes,no","radiate,discoid,disciform","cyme,solitary","equal,series","flat,conic,naked","ray,disk",,triangular,yw,tapered,,"linear,oblanceolate,flat","0,scales,bristles",,Asteraceae
Pluchea,annual,,shrub,,alternate,,,disciform,,"series,unequal",naked,"disk,pistillate",short tailed,ovate,ppu,,short branched,"cylindric,groved",bristles,,Asteraceae
Psilocarphus,annual,,,several,opposite,"simple,obtuse,entire",no,disciform,solitary,0,chaffy,"disk,pistillate",,,,,,smooth,0,,Asteraceae
Santolina,perennial,monoecious,shrub,"erect,branched",alternate,lobed,,discoid,solitary,series,"chaffy,convex",bisexual,"rounded,cordate",ovate,yellow,shrub-like,truncated,oblong,0,,Asteraceae
Saussurea,perennial,monoecious,,,alternate,,,discoid,,"unequal,series","flat,round,naked,bristly",bisexual,short tailed,"linear,acute",bpu,hairy,oblong branches,oblong,"bristles,scales",,Asteraceae
Silybum,both,monoecious,,,alternate,"spiny,dentate,lobed",,discoid,,series,"flat,bristly",bisexual,short saggitatte,oblong,ppu,swollen node,short branches,"ovoid,compressed",bristles,,Asteraceae
Soliva,annual,,,,,"compound,lobed",yes,disciform,,series,"flat,naked","disk,pistillate",,,green,,branched,"winged,flat",0,,Asteraceae
Sphaeromeria,perennial,,subshrub,,alternate,"simple,entire,lobed",,disciform,,series,"naked,hairy","disk,pistillate","rounded,cordate",,,shrub-like,truncated,"cylindric,ribbed",0,,Asteraceae
Stylocline,annual,,,"several,forked",alternate,"simple,entire,elliptic,oblanceolate",no,disciform,,0,"cylindric,chaffy,club","disk,pistillate",,,,,,"obovoid,smooth","0,bristles",,Asteraceae
Tanacetum,both,,,"decumbent,erect,branched",alternate,dissected,,"radiate,disciform,discoid",,series,"convex,conic","ray,disk,pistillate","rounded,cordate",ovate,yw,shrub-like,truncated,ribbed,scales,yes,Asteraceae
Thelesperma,both,,,,"opposite,alternate",,,discoid,,"series,free,fused","flat,chaffy","ray,disk",,triangular,yr,triangular,,"linear,compressed,round,rough",barbs,,Asteraceae
Ammi,anbi,monoecious,herb,"erect,branched",alternate,"oblong,ovate,dissected,lanceolate",,none,compound umbels,leaf like,"many,spreading-ascending",bisexual,,,white,,free,"oblong,ovate,compressed",minute,,Apiaceae
Ammoselinum,annual,monoecious,herb,"erect,branched",alternate,"oblong,ovate,dissected",yes,none,compound umbels,0,"few,spreading,ascending",bisexual,,,white,,free,"oblong,ovate,compressed,bristly",0,,Apiaceae
Anethum,annual,monoecious,herb,"erect,branched,hollow",alternate,"oblong,ovate,dissected",yes,none,compound umbels,0,"many,slender,subequal,spreading",bisexual,,,yellow,,free,"ovate,compressed,winged",0,,Apiaceae
Angelica,perennial,monoecious,herb,"erect,leafy,hollow",alternate,"compound,wide",yes,none,compound umbels,0,"many,spreading-ascending",bisexual,,,wrppu,,free,"oblong,round,compressed,hairy,winged","0,minute",,Apiaceae
Anthriscus,both,monoecious,herb,"erect,branched",alternate,"oblong,ovate,dissected,compound",,none,compound umbels,0,"few,spreading",bisexual,,,white,,free,"linear,lanceolate,ovae,cylindric,smooth,bristly",0,,Apiaceae
Apiastrum,annual,monoecious,herb,branched,"opposite,alternate","round,dissected,linear,oblong",yes,none,compound umbels,0,"few,unequal,spreading",bisexual,,,white,,free,"elliptic,cordate,compressed",0,,Apiaceae
Apium,three,monoecious,herb,"prostrate,erect,hollow",alternate,"oblong,ovate,dissected",,none,compound umbels,0,"few,spreading-ascending",bisexual,,,gw,,free,"ovate,oblong,round,compressed","0,minute",yes,Apiaceae
Berula,perennial ,monoecious,herb,"ascending,erect,hollow",alternate,"oblong,dissected,serrate,lobed",yes,none,compound umbels,"leaf like,lanceolate","unequal,spreading",bisexual,,,white,,free,"round,compressed",minute,,Apiaceae
Bowlesia,both,monoecious,herb,"decumbent,erect,branched","opposite,alternate","ovate,round,lobed,compound",,none,simple umbels,present,0,bisexual,,,ywgp,,free,"ovate,oblong,round,cylindric,compressed,hairy",0,,Apiaceae
