Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Alchemilla alpina,Stem ascending to prostrate,no rosette,obligat apomictic,b H,Herb,hermaphroditic,by seed and vegetatively,green,nut,toothed,rounded,length = width,cuneate,petiolate,,hermaphrodite,apomictic,"No appendages, coarse surface",,,,,,,,,,,,,,,,,Alchemilla
Alchemilla colorata,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla conjuncta,,no rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla connivens,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla coriacea,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla crinita,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla decumbens,,semi-rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla effusa,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla fallax,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla filicaulis,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla fissa,,no rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla flabellata,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glabra,Stem erect,no rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glaucescens,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla glomerulans,Stem erect,no rosette,obligat apomictic,H,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla hoppeana,,semi-rosette,obligat apomictic,b H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla incisa,Stem ascending to prostrate,semi-rosette,obligat apomictic,herb,Herb,hermaphroditic,by seed and vegetatively,green,nut,,,,,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla inconcinna,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla mollis,Stem erect,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla monticola,Stem ascending to prostrate,no rosette,obligat apomictic,Forbs,Herb,hermaphroditic,vegetative & generative,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla obtusa,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla propinqua,Stem ascending to prostrate,semi-rosette,obligat apomictic,H,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,na,na,na,na,na,,,,,,,,,,,,Alchemilla
Alchemilla reniformis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla straminea,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla strigosula,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla subcrenata,Stem erect,semi-rosette,obligat apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,apomictic,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla subglobosa,Stem ascending to prostrate,semi-rosette,obligat apomictic,Forbs,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla tenuis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla tirolensis,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla trunciloba,,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla versipila,Stem ascending to prostrate,semi-rosette,obligat apomictic,herb,,hermaphroditic,by seed and vegetatively,green,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemilla
Alchemilla xanthochlora,Stem erect,no rosette,obligat apomictic,herb,Herb,hermaphroditic,by seed and vegetatively,green,nut,lobed and toothed,pointed,length = width,cordate,petiolate,broadleaved,hermaphrodite,apomictic,Open structures,,,,,,Boreal,,,,,,,,,,,Alchemilla
Carex acuta,Stem erect,semi-rosette,"amphimicitc, sexual",hygrophyte,Herb,monoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Pulp,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex acutiformis,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoid,Herb,monoecious,vegetative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex alba,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,by seed and vegetatively,,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex appropinquata,Stem erect,rosette,"amphimicitc, sexual",Graminoids,Herb,andromonoecious,by seed and vegetatively,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,,Closed structures,,,,,,,always grass-like,,,,,,,,,,Carex
Carex aquatilis,Stem erect,semi-rosette,"amphimicitc, sexual",graminoid,Herb,monoecious,by seed and vegetatively,Green,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,monoecious,,Closed structures,C3H,GC3,GC3,TmpH,GC3,Polar,always grass-like,,Bunch,No,Erect,GC3,GC3,,,,Carex
Carex arenaria,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,monoecious,vegetative,,nut,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,monoecious,normally cross,Closed structures,,,,,,,always grass-like,protogynous,,,,,,,,,Carex
Carex atherodes,Stem erect,semi-rosette,"amphimicitc, sexual",mesoxerophyte,Herb,monoecious,by seed and vegetatively,Green,nut,,,,,,,,,Closed structures,,,,,,,always grass-like,,Rhizomatous,No,Erect,,,,,,Carex
